target N(0, I_325), K=400, 5000 iters, h* = 2d/lnK = 108.5
energy floor at K=400 exact draws: 0.0785
      kernel     h/h*  start sd  var ratio  var/var0    energy  x floor  mean |mu|    sec
    standard        0      0.05    0.16109    64.426    3.1451    40.05     0.0025    2.9
    standard        0      0.25    0.16110     2.577    3.1442    40.04     0.0011    1.7
    standard        0      1.00    0.16108     0.161    3.1467    40.07     0.0051    1.6
    standard        0      2.00    0.16109     0.040    3.1529    40.15     0.0144    1.6
    standard        1      0.05    0.34621   138.466    1.3645    17.38     0.0036    1.6
    standard        1      0.25    0.34622     5.539    1.3640    17.37     0.0026    1.6
    standard        1      1.00    0.34621     0.346    1.3653    17.39     0.0040    1.6
    standard        1      2.00    0.34622     0.087    1.3719    17.47     0.0119    1.8
    standard        3      0.05    0.58453   233.782    0.4325     5.51     0.0030    2.0
    standard        3      0.25    0.58455     9.352    0.4315     5.49     0.0023    1.6
    standard        3      1.00    0.58455     0.584    0.4314     5.49     0.0015    1.7
    standard        3      2.00    0.58454     0.146    0.4374     5.57     0.0100    1.9
    standard       10      0.05    0.81235   324.896    0.1030     1.31     0.0036    1.8
    standard       10      0.25    0.81285    13.004    0.1025     1.30     0.0018    1.8
    standard       10      1.00    0.81270     0.813    0.1024     1.30     0.0012    1.7
    standard       10      2.00    0.81261     0.203    0.1035     1.32     0.0049    2.1
    standard       30      0.05    0.92062   368.200    0.0674     0.86     0.0010    2.0
    standard       30      0.25    0.92569    14.809    0.0493     0.63     0.0016    1.8
    standard       30      1.00    0.92569     0.926    0.0490     0.62     0.0007    1.7
    standard       30      2.00    0.92570     0.231    0.0491     0.62     0.0023    1.7
    standard      100      0.05    0.97116   388.411    0.1800     2.29     0.0015    1.9
    standard      100      0.25    0.97573    15.610    0.0420     0.54     0.0011    2.1
    standard      100      1.00    0.97615     0.976    0.0416     0.53     0.0007    2.3
    standard      100      2.00    0.97619     0.244    0.0420     0.54     0.0023    2.4
    standard      300      0.05    0.75988   303.913    0.7997    10.18     0.0008    2.1
    standard      300      0.25    0.99151    15.862    0.0422     0.54     0.0011    2.0
    standard      300      1.00    0.99188     0.992    0.0412     0.52     0.0006    2.2
    standard      300      2.00    0.99190     0.248    0.0415     0.53     0.0019    2.6
    standard     1000      0.05    0.18964    75.846    5.2553    66.92     0.0002    1.7
    standard     1000      0.25    0.77015    12.321    0.1660     2.11     0.0004    1.9
    standard     1000      1.00    0.97959     0.979    0.0415     0.53     0.0001    1.9
    standard     1000      2.00    0.99713     0.249    0.0416     0.53     0.0037    2.0
