    convention      K      d  gamma=d/K  v measured  Ba et al.   ln K / d    sec
    Ba (h=Med)    400    800       2.00     0.29026    0.29099    0.00749    3.2
  msvgd (/lnK)    400    800       2.00     0.00750    0.29099    0.00749    2.5
    Ba (h=Med)    400   1600       4.00     0.14513    0.14549    0.00374    3.3
  msvgd (/lnK)    400   1600       4.00     0.00371    0.14549    0.00374    2.9
    Ba (h=Med)    200    400       2.00     0.28953    0.29099    0.01325    2.1
  msvgd (/lnK)    200    400       2.00     0.01325    0.29099    0.01325    1.6
    Ba (h=Med)    200    800       4.00     0.14477    0.14549    0.00662    2.1
  msvgd (/lnK)    200    800       4.00     0.00670    0.14549    0.00662    2.0
    Ba (h=Med)    100    400       4.00     0.14404    0.14549    0.01151    3.8
  msvgd (/lnK)    100    400       4.00     0.01150    0.14549    0.01151    3.5
