
===== fn K=400 h0=0.40567 | floors: energy 0.0820 stiffvar 1.010 KS 0.0482 wb [0.896, 1.118] =====
     h/h0   SteinR   energy   x flr  stiffvar   wb lo   wb hi      KS  KS/flr    thErr
    start   1.2738   0.1357    1.65    1.0583   0.874   1.136  0.0589    1.22   0.0768
        1   0.0274   6.3069   76.87    0.0005   0.000   0.286  0.2768    5.74   1.0134
       10   0.3295   1.4400   17.55    0.0155   0.013   0.989  0.1172    2.43   0.4611
      100   0.7692   0.1768    2.15    0.6223   0.561   0.943  0.0527    1.09   0.0227
      300   0.8752   0.1015    1.24    0.7939   0.709   0.988  0.0503    1.04   0.1014
     1000   0.9675   0.0669    0.82    0.9183   0.796   1.048  0.0563    1.17   0.2296
     3000   1.0306   0.0595    0.72    0.9847   0.834   1.066  0.0673    1.40   0.3575
    10000   1.0870   0.0585    0.71    1.0184   0.852   1.102  0.0661    1.37   0.3781
    30000   1.1167   0.0574    0.70    1.0332   0.858   1.120  0.0560    1.16   0.2897
   100000   1.1404   0.0568    0.69    1.0439   0.867   1.121  0.0541    1.12   0.1874
  EXACT K   0.9942   0.0712    0.87    1.0134   0.885   1.113  0.0506    1.05   0.0658
