
===== hiv K=400 h0=2.0428e+06 | floors: energy 0.1078 stiffvar 0.998 KS 0.0469 wb [0.884, 1.125] =====
     h/h0   SteinR   energy   x flr  stiffvar   wb lo   wb hi      KS  KS/flr    thErr
    start   1.0000   0.1111    1.03    1.0738   0.886   1.159  0.0473    1.01   0.0959
        1   0.0802   6.5187   60.48    0.0013   0.001   0.528  0.3911    8.34   0.1036
       10   0.2488   2.8622   26.55    0.0065   0.004   1.010  0.1504    3.21   0.0935
      100   0.7825   0.1730    1.60    0.6554   0.575   1.060  0.0442    0.94   0.0128
      300   0.8268   0.1284    1.19    0.7677   0.672   1.053  0.0425    0.91   0.0203
     1000   0.8777   0.0936    0.87    0.8244   0.727   1.073  0.0400    0.85   0.0131
     3000   0.9115   0.0785    0.73    0.8624   0.773   1.083  0.0393    0.84   0.0169
    10000   0.9722   0.0670    0.62    0.9928   0.865   1.118  0.0390    0.83   0.0278
    30000   0.9888   0.0673    0.62    1.0385   0.877   1.137  0.0391    0.83   0.0246
   100000   0.9950   0.0680    0.63    1.0578   0.881   1.148  0.0391    0.83   0.0187
  EXACT K   1.0012   0.0929    0.86    0.9901   0.892   1.136  0.0458    0.98   0.1142
