
===== lorenz K=400 h0=138 | floors: energy 0.0783 stiffvar 1.014 KS 0.0483 wb [0.890, 1.117] =====
     h/h0   SteinR   energy   x flr  stiffvar   wb lo   wb hi      KS  KS/flr    thErr
    start   1.0194   0.0974    1.24    1.0374   0.871   1.141  0.0559    1.16   0.0710
        1   0.0341   5.2842   67.48    0.0057   0.001   0.395  0.2494    5.17   1.7218
       10   0.2826   1.5427   19.70    0.0762   0.063   1.186  0.1231    2.55   1.0863
      100   0.7994   0.1082    1.38    0.7291   0.663   1.059  0.0517    1.07   0.2086
      300   0.8887   0.0635    0.81    0.8678   0.770   1.150  0.0472    0.98   0.0777
     1000   0.9432   0.0516    0.66    0.9422   0.815   1.078  0.0482    1.00   0.0821
     3000   0.9691   0.0488    0.62    0.9794   0.839   1.096  0.0479    0.99   0.0776
    10000   0.9869   0.0482    0.62    1.0022   0.848   1.114  0.0481    1.00   0.0748
    30000   0.9969   0.0483    0.62    1.0141   0.861   1.125  0.0484    1.00   0.0779
   100000   1.0050   0.0487    0.62    1.0237   0.865   1.135  0.0488    1.01   0.0787
  EXACT K   0.9972   0.0689    0.88    1.0045   0.887   1.119  0.0442    0.92   0.0714
