
===== fn K=400 h=1000*h0 (405.7) maxit=20000 floor=0.0820 =====
   floors: energy 0.0820  stiffvar 1.010  KS 0.0482
-- start "correct": energy 0.1357 (1.7x) whsd 1.004 Stein R 1.2738
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    0.0598     0.73    0.9680    1.37   0.970   1.0255   0.3284     0.5
    2000    0.0671     0.82    0.9182    1.17   0.953   0.9672   0.2292     1.0
    3000    0.0785     0.96    0.8814    1.07   0.940   0.9275   0.1646     1.6
    4000    0.0902     1.10    0.8514    1.03   0.929   0.8974   0.1196     2.1
    5000    0.0996     1.21    0.8264    1.00   0.921   0.8742   0.0844     2.6
    6000    0.1091     1.33    0.8050    0.99   0.915   0.8565   0.0570     3.1
    7000    0.1166     1.42    0.7861    1.00   0.909   0.8426   0.0363     3.6
    8000    0.1250     1.52    0.7695    1.00   0.904   0.8313   0.0192     4.1
    9000    0.1304     1.59    0.7546    1.02   0.901   0.8220   0.0090     4.7
   10000    0.1345     1.64    0.7411    1.03   0.898   0.8142   0.0131     5.2
   11000    0.1393     1.70    0.7289    1.04   0.893   0.8076   0.0168     5.7
   12000    0.1444     1.76    0.7176    1.04   0.890   0.8020   0.0196     6.2
   13000    0.1475     1.80    0.7075    1.05   0.887   0.7971   0.0255     6.7
   14000    0.1532     1.87    0.6980    1.05   0.884   0.7932   0.0240     7.2
   15000    0.1530     1.86    0.6892    1.06   0.880   0.7897   0.0285     7.8
   16000    0.1549     1.89    0.6811    1.06   0.879   0.7868   0.0298     8.3
   17000    0.1564     1.91    0.6736    1.06   0.877   0.7843   0.0333     8.8
   18000    0.1583     1.93    0.6666    1.05   0.876   0.7823   0.0339     9.3
   19000    0.1593     1.94    0.6601    1.05   0.875   0.7806   0.0329     9.8
   20000    0.1600     1.95    0.6540    1.05   0.872   0.7791   0.0361    10.3
-- start "narrow 4x": energy 5.4323 (66.2x) whsd 0.251 Stein R 0.0633
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    5.4559    66.50    0.0653   10.13   0.253   0.0651   0.9200     0.5
    2000    5.3924    65.73    0.0656   10.10   0.257   0.0670   0.9370     1.0
    3000    5.3241    64.89    0.0659   10.05   0.259   0.0692   0.9378     1.5
    4000    5.2553    64.05    0.0663    9.99   0.263   0.0714   0.9403     2.0
    5000    5.1857    63.21    0.0667    9.93   0.266   0.0738   0.9388     2.4
    6000    5.1095    62.28    0.0671    9.85   0.269   0.0763   0.9385     2.9
    7000    5.0342    61.36    0.0676    9.78   0.273   0.0790   0.9315     3.4
    8000    4.9599    60.45    0.0680    9.70   0.277   0.0818   0.9289     3.9
    9000    4.8791    59.47    0.0684    9.62   0.279   0.0846   0.9266     4.4
   10000    4.8019    58.53    0.0689    9.54   0.283   0.0877   0.9218     4.9
   11000    4.7208    57.54    0.0693    9.46   0.290   0.0908   0.9185     5.4
   12000    4.6398    56.55    0.0698    9.37   0.296   0.0940   0.9143     5.9
   13000    4.5584    55.56    0.0702    9.29   0.302   0.0974   0.9086     6.3
   14000    4.4765    54.56    0.0707    9.20   0.309   0.1009   0.9097     6.8
   15000    4.3932    53.55    0.0711    9.11   0.315   0.1046   0.8986     7.3
   16000    4.3090    52.52    0.0716    9.02   0.322   0.1084   0.8924     7.8
   17000    4.2232    51.48    0.0720    8.92   0.328   0.1123   0.8878     8.3
   18000    4.1389    50.45    0.0725    8.83   0.335   0.1163   0.8817     8.8
   19000    4.0553    49.43    0.0729    8.74   0.342   0.1205   0.8736     9.3
   20000    3.9688    48.37    0.0733    8.64   0.349   0.1248   0.8679     9.8
-- start "wide 4x": energy 21.4309 (261.2x) whsd 4.015 Stein R 162.7159
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000   20.2196   246.45    8.7163   12.55   3.009   8.3628   7.2681     0.5
    2000   13.7673   167.80    6.7590   12.01   2.666   6.1858   6.0185     1.0
    3000   10.4085   126.86    5.7137   11.34   2.451   5.1028   5.1337     1.5
    4000    8.5204   103.85    5.0305   10.65   2.302   4.4206   4.4526     2.0
    5000    7.1819    87.54    4.5364    9.97   2.181   3.9429   3.9242     2.4
    6000    5.7110    69.61    4.1578    9.32   2.086   3.5843   3.4859     2.9
    7000    4.4987    54.83    3.8550    8.71   1.991   3.2993   3.0627     3.4
    8000    4.0826    49.76    3.6076    8.16   1.917   3.0721   2.7575     3.9
    9000    3.6427    44.40    3.3994    7.64   1.853   2.8823   2.4558     4.4
   10000    3.2491    39.60    3.2223    7.17   1.805   2.7234   2.2340     4.9
   11000    2.5150    30.65    3.0681    6.74   1.761   2.5862   2.0328     5.4
   12000    2.6690    32.53    2.9342    6.34   1.716   2.4700   1.9042     5.9
   13000    3.1066    37.86    2.8156    6.00   1.680   2.3621   1.6938     6.4
   14000    3.3126    40.38    2.7109    5.67   1.628   2.2708   1.5734     6.9
   15000    3.3017    40.24    2.6157    5.40   1.571   2.1895   1.4731     7.3
   16000    2.0149    24.56    2.5275    5.12   1.522   2.1164   1.3736     7.8
   17000    1.6930    20.64    2.4491    4.87   1.491   2.0485   1.2582     8.3
   18000    1.6047    19.56    2.3775    4.65   1.459   1.9865   1.1339     8.8
   19000    3.4673    42.26    2.3150    4.47   1.442   1.9340   1.1106     9.3
   20000    1.5460    18.84    2.2518    4.26   1.421   1.8848   1.0393     9.8
-- start "displaced": energy 1.0836 (13.2x) whsd 1.004 Stein R 1.2738
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    0.0573     0.70    0.9790    1.32   0.975   1.0341   0.3279     0.5
    2000    0.0668     0.81    0.9288    1.16   0.958   0.9804   0.2319     1.0
    3000    0.0754     0.92    0.8917    1.08   0.946   0.9365   0.1692     1.5
    4000    0.0869     1.06    0.8618    1.05   0.935   0.9037   0.1290     2.0
    5000    0.0962     1.17    0.8367    1.01   0.926   0.8802   0.0947     2.4
    6000    0.1046     1.28    0.8153    0.99   0.919   0.8627   0.0645     2.9
    7000    0.1116     1.36    0.7961    0.99   0.914   0.8490   0.0454     3.4
    8000    0.1178     1.44    0.7792    1.00   0.910   0.8377   0.0283     3.9
    9000    0.1245     1.52    0.7640    1.01   0.905   0.8283   0.0167     4.4
   10000    0.1301     1.59    0.7503    1.02   0.901   0.8204   0.0103     4.9
   11000    0.1348     1.64    0.7379    1.03   0.898   0.8138   0.0142     5.4
   12000    0.1379     1.68    0.7266    1.04   0.893   0.8080   0.0179     5.9
   13000    0.1420     1.73    0.7160    1.05   0.890   0.8031   0.0211     6.4
   14000    0.1455     1.77    0.7062    1.05   0.889   0.7989   0.0227     6.9
   15000    0.1488     1.81    0.6975    1.06   0.886   0.7953   0.0230     7.3
   16000    0.1503     1.83    0.6891    1.06   0.883   0.7922   0.0252     7.8
   17000    0.1516     1.85    0.6814    1.06   0.881   0.7895   0.0255     8.3
   18000    0.1540     1.88    0.6742    1.05   0.881   0.7872   0.0276     8.8
   19000    0.1556     1.90    0.6675    1.05   0.878   0.7854   0.0260     9.3
   20000    0.1562     1.90    0.6614    1.05   0.877   0.7837   0.0294     9.8
