
===== hiv K=400 h=1000*h0 (2.043e+09) maxit=20000 floor=0.1078 =====
   floors: energy 0.1078  stiffvar 0.998  KS 0.0469
-- start "correct": energy 0.1111 (1.0x) whsd 1.009 Stein R 1.0000
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    0.0744     0.69    0.9178    0.84   0.972   0.9328   0.0348     3.4
    2000    0.0832     0.77    0.8682    0.84   0.954   0.8993   0.0222     6.7
    3000    0.0955     0.89    0.8590    0.86   0.942   0.8801   0.0922    10.1
    4000    0.0982     0.91    0.8477    0.87   0.935   0.8681   0.0110    13.5
    5000    0.1031     0.96    0.8427    0.88   0.930   0.8606   0.0168    16.8
    6000    0.1068     0.99    0.8386    0.89   0.925   0.8551   0.0110    20.2
    7000    0.1101     1.02    0.8344    0.90   0.922   0.8506   0.0125    23.6
    8000    0.1313     1.22    0.8289    0.91   0.919   0.8465   0.1729    26.9
    9000    0.1157     1.07    0.8257    0.91   0.917   0.8432   0.0135    30.3
   10000    0.1220     1.13    0.8259    0.92   0.915   0.8406   0.0644    33.7
   11000    0.1224     1.14    0.8181    0.92   0.914   0.8375   0.0495    37.0
   12000    0.1223     1.13    0.8131    0.93   0.913   0.8350   0.0154    40.4
   13000    0.1245     1.16    0.8096    0.93   0.911   0.8327   0.0246    43.8
   14000    0.1260     1.17    0.8049    0.94   0.910   0.8305   0.0163    47.1
   15000    0.1376     1.28    0.8101    0.94   0.908   0.8294   0.1363    50.5
   16000    0.1294     1.20    0.7970    0.94   0.907   0.8265   0.0172    53.9
   17000    0.1317     1.22    0.7934    0.95   0.906   0.8246   0.0294    57.2
   18000    0.1326     1.23    0.7892    0.95   0.905   0.8228   0.0176    60.6
   19000    0.1350     1.25    0.7853    0.96   0.904   0.8210   0.0312    64.0
   20000    0.1356     1.26    0.7816    0.96   0.903   0.8192   0.0183    67.3
-- start "narrow 4x": energy 7.3036 (67.8x) whsd 0.252 Stein R 0.0625
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    7.2661    67.41    0.0657    6.52   0.252   0.0621   0.1271     3.3
    2000    7.2956    67.69    0.0637    6.52   0.250   0.0614   0.1344     6.7
    3000    7.3375    68.08    0.0613    6.52   0.248   0.0605   0.1375    10.0
    4000    7.3869    68.54    0.0592    6.53   0.246   0.0596   0.1586    13.4
    5000    7.4191    68.83    0.0576    6.54   0.244   0.0588   0.1386    16.7
    6000    7.4508    69.13    0.0564    6.55   0.243   0.0581   0.1399    20.1
    7000    7.4797    69.40    0.0554    6.56   0.241   0.0575   0.1467    23.4
    8000    7.5019    69.60    0.0546    6.56   0.240   0.0571   0.1367    26.8
    9000    7.5330    69.89    0.0540    6.57   0.239   0.0566   0.1692    30.1
   10000    7.5410    69.97    0.0535    6.57   0.238   0.0563   0.1375    33.4
   11000    7.5565    70.11    0.0531    6.58   0.238   0.0560   0.1390    36.8
   12000    7.5708    70.24    0.0527    6.58   0.237   0.0557   0.1382    40.1
   13000    7.5835    70.36    0.0525    6.59   0.236   0.0554   0.1392    43.5
   14000    7.5949    70.47    0.0522    6.59   0.236   0.0552   0.1391    46.8
   15000    7.6052    70.56    0.0520    6.60   0.235   0.0550   0.1390    50.2
   16000    7.6147    70.65    0.0518    6.60   0.234   0.0548   0.1391    53.5
   17000    7.6234    70.73    0.0517    6.60   0.234   0.0546   0.1373    56.9
   18000    7.6312    70.80    0.0515    6.61   0.234   0.0545   0.1390    60.2
   19000    7.6422    70.90    0.0514    6.61   0.233   0.0543   0.1392    63.5
   20000    7.6450    70.93    0.0513    6.61   0.233   0.0542   0.1395    66.9
-- start "wide 4x": energy 29.5479 (274.1x) whsd 4.035 Stein R 16.0054
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000   24.2460   224.95   10.4495    6.43   3.570  12.8986   1.5095     4.2
    2000   22.4810   208.58    9.3901    6.42   3.417  11.9549   1.8202     8.4
    3000   21.5093   199.56    7.6838    6.31   3.336  11.4231   1.6439    12.6
    4000   20.4086   189.35    6.6385    6.26   3.259  10.8529   1.6421    16.8
    5000   19.0951   177.16    5.6647    6.20   3.141  10.1967   1.6205    21.0
    6000   17.9458   166.50    6.8502    6.13   3.059   9.7476   1.5467    25.2
    7000   16.5386   153.44    3.5717    6.07   2.886   8.9264   1.5400    29.4
    8000   15.4912   143.73    2.9284    6.01   2.783   8.4201   1.5191    33.5
    9000   14.6921   136.31    3.5527    5.96   2.697   8.0951   1.4721    37.7
   10000   13.7867   127.91    2.1710    5.90   2.561   7.6217   1.4221    41.9
   11000   13.0885   121.43    1.8019    5.85   2.473   7.2942   1.4236    46.1
