
===== lorenz K=400 h=1000*h0 (1.38e+05) maxit=20000 floor=0.0783 =====
   floors: energy 0.0783  stiffvar 1.014  KS 0.0483
-- start "correct": energy 0.0974 (1.2x) whsd 1.004 Stein R 1.0194
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    0.0491     0.63    0.9742    1.00   0.984   0.9675   0.0787     0.4
    2000    0.0518     0.66    0.9429    1.00   0.971   0.9431   0.0837     0.8
    3000    0.0548     0.70    0.9171    1.00   0.961   0.9253   0.0828     1.3
    4000    0.0585     0.75    0.8961    1.00   0.953   0.9105   0.0840     1.7
    5000    0.0619     0.79    0.8769    1.00   0.947   0.8980   0.0828     2.1
    6000    0.0657     0.84    0.8607    1.00   0.941   0.8867   0.0842     2.5
    7000    0.0695     0.89    0.8458    1.01   0.936   0.8768   0.0845     3.0
    8000    0.0731     0.93    0.8327    1.01   0.931   0.8677   0.0879     3.4
    9000    0.0767     0.98    0.8203    1.02   0.927   0.8596   0.0943     3.8
   10000    0.0801     1.02    0.8090    1.02   0.924   0.8522   0.1007     4.2
   11000    0.0835     1.07    0.7983    1.03   0.920   0.8455   0.1065     4.7
   12000    0.0868     1.11    0.7888    1.03   0.917   0.8392   0.1126     5.1
   13000    0.0898     1.15    0.7796    1.04   0.914   0.8334   0.1182     5.5
   14000    0.0928     1.19    0.7707    1.05   0.910   0.8283   0.1232     5.9
   15000    0.0958     1.22    0.7630    1.05   0.909   0.8232   0.1289     6.4
   16000    0.0983     1.26    0.7554    1.06   0.906   0.8186   0.1339     6.8
   17000    0.1009     1.29    0.7483    1.06   0.904   0.8144   0.1388     7.2
   18000    0.1033     1.32    0.7411    1.07   0.902   0.8106   0.1430     7.6
   19000    0.1057     1.35    0.7350    1.08   0.900   0.8067   0.1480     8.1
   20000    0.1079     1.38    0.7290    1.08   0.899   0.8033   0.1525     8.5
-- start "narrow 4x": energy 5.1997 (66.4x) whsd 0.251 Stein R 0.0624
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000    5.2222    66.69    0.0643    8.97   0.251   0.0660   0.9721     0.4
    2000    5.2075    66.50    0.0643    9.15   0.252   0.0663   1.0750     0.8
    3000    5.1923    66.31    0.0645    9.23   0.254   0.0669   1.1359     1.2
    4000    5.1666    65.98    0.0646    9.28   0.255   0.0675   1.1780     1.6
    5000    5.1445    65.70    0.0648    9.31   0.257   0.0682   1.2095     2.0
    6000    5.1328    65.55    0.0651    9.33   0.258   0.0691   1.2298     2.4
    7000    5.0973    65.10    0.0653    9.34   0.260   0.0698   1.2496     2.8
    8000    5.0696    64.74    0.0656    9.35   0.262   0.0706   1.2637     3.3
    9000    5.0439    64.41    0.0658    9.34   0.263   0.0715   1.2751     3.7
   10000    5.0190    64.10    0.0661    9.34   0.265   0.0724   1.2828     4.1
   11000    4.9874    63.69    0.0664    9.33   0.267   0.0732   1.2937     4.5
   12000    4.9621    63.37    0.0667    9.32   0.270   0.0741   1.2997     4.9
   13000    4.9383    63.07    0.0669    9.31   0.271   0.0751   1.3029     5.3
   14000    4.9065    62.66    0.0672    9.30   0.273   0.0760   1.3086     5.7
   15000    4.8787    62.30    0.0675    9.28   0.275   0.0770   1.3112     6.1
   16000    4.8518    61.96    0.0678    9.26   0.277   0.0780   1.3141     6.5
   17000    4.8229    61.59    0.0681    9.24   0.279   0.0790   1.3163     6.9
   18000    4.7967    61.26    0.0684    9.22   0.281   0.0800   1.3163     7.3
   19000    4.7598    60.79    0.0688    9.20   0.283   0.0810   1.3199     7.7
   20000    4.7398    60.53    0.0691    9.17   0.285   0.0821   1.3167     8.1
-- start "wide 4x": energy 20.7976 (265.6x) whsd 4.014 Stein R 39.9769
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
    1000   16.0464   204.92   11.6108    6.19   3.402  11.9658   1.1123     0.4
    2000   12.8542   164.16    9.6336    6.19   3.053   9.4135   1.2617     0.8
    3000   10.7437   137.20    8.4495    6.03   2.813   8.0271   1.3291     1.2
    4000    9.2991   118.76    7.6160    5.90   2.640   7.0778   1.3628     1.7
    5000    8.2353   105.17    6.9924    5.77   2.502   6.3851   1.3781     2.1
    6000    7.3414    93.75    6.4722    5.68   2.389   5.8435   1.3839     2.5
    7000    6.6466    84.88    6.0896    5.59   2.293   5.4216   1.3934     2.9
    8000    6.1030    77.94    5.7292    5.51   2.212   5.0530   1.3757     3.3
    9000    5.5708    71.14    5.4151    5.45   2.140   4.7525   1.3744     3.7
   10000    5.1525    65.80    5.1920    5.40   2.078   4.5061   1.3773     4.1
   11000    4.7778    61.02    4.9680    5.35   2.025   4.2855   1.3714     4.5
   12000    4.4330    56.61    4.7233    5.32   1.973   4.0738   1.3461     5.0
   13000    4.1464    52.95    4.5402    5.29   1.929   3.8996   1.3340     5.4
